№,Ige (HU),Infinitivus,Példamondat (HU),Verb (EN),Sentence (EN),Audio
231,csatlakozik,csatlakozni,Holnap csatlakozom hozzátok a parkban.,to join,I'll join you in the park tomorrow.,0231_csatlakozik_m.mp3
232,bocsát,bocsátani,Délután szabadon bocsátják a foglyot.,to release,They will release the prisoner in the afternoon.,0232_bocsat_m.mp3
233,tanít,tanítani,Minden nap angolt tanítok az iskolában.,to teach,I teach English at school every day.,0233_tanit_m.mp3
234,elad,eladni,Holnap eladom a régi biciklimet.,to sell,I'm selling my old bike tomorrow.,0234_elad_m.mp3
235,viselkedik,viselkedni,Ma nagyon jól viselkedik az osztályban.,to behave,He is behaving very well in class today.,0235_viselkedik_m.mp3
236,győz,győzni,Ma este biztosan győzünk a meccsen.,to win,We will definitely win the match tonight.,0236_gyoz_m.mp3
237,mozdul,mozdulni,Reggel nagyon nehezen mozdulok.,to move,I can barely move in the morning.,0237_mozdul_m.mp3
238,sétál,sétálni,Minden reggel a parkban sétálok.,"to walk, to stroll",I walk in the park every morning.,0238_setal_m.mp3
239,megáll,megállni,A piros lámpánál mindig megállunk.,to stop,We always stop at the red light.,0239_megall_m.mp3
240,fekszik,feküdni,Este tíz órakor az ágyban fekszem.,to lie (in bed),At ten in the evening I'm lying in bed.,0240_fekszik_m.mp3
241,megérkezik,megérkezni,Holnap reggel érkezünk meg Budapestre.,to arrive,We arrive in Budapest tomorrow morning.,0241_megerkezik_m.mp3
242,megbeszél,megbeszélni,Holnap megbeszéljük a tervet.,"to discuss, to go over",Tomorrow we'll discuss the plan.,0242_megbeszel_m.mp3
243,szolgál,szolgálni,Két évig szolgáltam a hadseregben.,to serve,I served in the army for two years.,0243_szolgal_m.mp3
244,egyetért,egyetérteni,Teljesen egyetértek veled ebben.,to agree,I completely agree with you on this.,0244_egyetert_m.mp3
245,repül,repülni,Holnap Budapestre repülök.,to fly,I'm flying to Budapest tomorrow.,0245_repul_m.mp3
246,utazik,utazni,Nyáron gyakran utazom a tengerhez.,"to travel, to go",In summer I often go to the sea.,0246_utazik_m.mp3
247,vet,vetni,Tavasszal búzát vetünk a földbe.,to sow,In spring we sow wheat in the ground.,0247_vet_m.mp3
248,elveszít,elveszíteni,Tegnap elveszítettem a kulcsomat a parkban.,to lose,Yesterday I lost my key in the park.,0248_elveszit_m.mp3
249,illet,illetni,Ez a kérdés engem is illet.,"to concern, to apply to",This question concerns me too.,0249_illet_m.mp3
250,basz ⚠️,baszni,Tegnap este végre megint basztunk.,to fuck,Last night we finally fucked again.,0250_basz_m.mp3
251,művel,művelni,Most a kertet műveljük.,"to cultivate, to tend",We are cultivating the garden right now.,0251_muvel_m.mp3
252,lop,lopni,Néha lopok cukrot a boltban.,to steal,Sometimes I steal sugar from the shop.,0252_lop_m.mp3
253,vállal,vállalni,Szívesen vállalom a nehéz feladatot.,"to take on, to undertake",I am happy to take on the difficult task.,0253_vallal_m.mp3
254,emlékezik,emlékezni,Jól emlékszem erre a napra.,to remember,I remember this day well.,0254_emlekezik_m.mp3
255,elárul,elárulni,Soha nem árulom el a titkodat.,"to reveal, to give away (a secret)",I will never give away your secret.,0255_elarul_m.mp3
256,ajánl,ajánlani,Ajánlok neked egy jó éttermet.,"to recommend, to suggest",I recommend a good restaurant to you.,0256_ajanl_m.mp3
257,emel,emelni,Lassan emelem a nehéz dobozt.,to lift,I am slowly lifting the heavy box.,0257_emel_m.mp3
258,megad,megadni,Holnap megadom neked a pénzt.,"to give back, to repay",I will give you the money back tomorrow.,0258_megad_m.mp3
259,bemutat,bemutatni,Holnap bemutatom az új kollégámat.,to introduce,Tomorrow I will introduce my new colleague.,0259_bemutat_m.mp3
260,értékel,értékelni,Nagyon értékelem a segítségedet.,"to appreciate, to value",I really appreciate your help.,0260_ertekel_m.mp3
261,jelentkezik,jelentkezni,Holnap jelentkezem egy nyelvtanfolyamra.,"to sign up (for), to register",Tomorrow I'm signing up for a language course.,0261_jelentkezik_m.mp3
262,kinyit,kinyitni,Reggel mindig kinyitom az ablakot.,to open,I always open the window in the morning.,0262_kinyit_m.mp3
263,telefonál,telefonálni,Este telefonálok a barátomnak.,"to call, to phone",I'll call my friend in the evening.,0263_telefonal_m.mp3
264,eltűnik,eltűnni,Reggelre eltűnt a hó az utcáról.,"to disappear, to vanish",By morning the snow had disappeared from the street.,0264_eltunik_m.mp3
265,épít,építeni,Most egy nagy házat építünk.,to build,We are building a big house right now.,0265_epit_m.mp3
266,lóg,lógni,A kabát a szekrényben lóg.,to hang,The coat is hanging in the wardrobe.,0266_log_m.mp3
267,foglal,foglalni,Asztalt foglalok ma este a vacsorához.,"to reserve, to book",I'm reserving a table for dinner tonight.,0267_foglal_m.mp3
268,gondoskodik,gondoskodni,Mindig gondoskodom a növényekről.,"to take care of, to look after",I always take care of the plants.,0268_gondoskodik_m.mp3
269,említ,említeni,Tegnap említettem ezt a problémát.,to mention,I mentioned this problem yesterday.,0269_emlit_m.mp3
270,ment,menteni,Tegnap mentett egy kiskutyát a folyóból.,"to rescue, to save",Yesterday he rescued a puppy from the river.,0270_ment_m.mp3
271,lefekszik,lefeküdni,Este tíz órakor fekszem le.,to go to bed,I go to bed at ten o'clock in the evening.,0271_lefekszik_m.mp3
272,kimegy,kimenni,Reggel kimegyek a kertbe.,to go out,In the morning I go out into the garden.,0272_kimegy_m.mp3
273,felad,feladni,Soha nem adom fel a céljaimat.,to give up,I never give up on my goals.,0273_felad_m.mp3
274,kijön,kijönni,Lassan kijövök a házból.,to come out,I slowly come out of the house.,0274_kijon_m.mp3
275,ugrik,ugrani,Reggel mindig ugrom egyet.,to jump,I always jump in the morning.,0275_ugrik_m.mp3
276,meglesz,meglenni,Holnapra meglesz az ebéd.,to be ready / to be done,Lunch will be ready by tomorrow.,0276_meglesz_m.mp3
277,hazamegy,hazamenni,Délután korán hazamegyek a munkából.,to go home,In the afternoon I go home early from work.,0277_hazamegy_m.mp3
278,idejön,idejönni,"Idejössz hozzám holnap, kérlek?",to come over,"Will you come over tomorrow, please?",0278_idejon_m.mp3
279,megismer,megismerni,Tegnap megismertem egy kedves lányt.,to meet / to get to know,Yesterday I met a nice girl.,0279_megismer_m.mp3
280,szenved,szenvedni,Télen mindig sokat szenvedek a hidegtől.,to suffer,In winter I always suffer a lot from the cold.,0280_szenved_m.mp3
281,megszerez,megszerezni,Tegnap megszereztem a jegyeket a koncertre.,"to get, to obtain",Yesterday I got the tickets for the concert.,0281_megszerez_m.mp3
282,megállít,megállítani,Megállította az autót az úton.,to stop (something),He stopped the car on the road.,0282_megallit_m.mp3
283,nevet,nevetni,Most nagyon hangosan nevet.,to laugh,Right now he is laughing very loudly.,0283_nevet_m.mp3
284,megőrül,megőrülni,Majdnem megőrültem ettől a zajtól.,"to go crazy, to lose one's mind",I almost went crazy from this noise.,0284_megorul_m.mp3
285,menekül,menekülni,Gyorsan menekülök a hideg elől.,"to flee, to run away",I am quickly running away from the cold.,0285_menekul_m.mp3
286,megváltoztat,megváltoztatni,Holnap megváltoztatom a jelszavamat.,to change (something),Tomorrow I will change my password.,0286_megvaltoztat_m.mp3
287,veszít,veszíteni,Tegnap megint veszítettünk egy fontos meccset.,to lose (a game),Yesterday we lost an important match again.,0287_veszit_m.mp3
288,vél,vélni,Okos embernek vélem őt.,"to consider, to think",I consider him a smart person.,0288_vel_m.mp3
289,megkeres,megkeresni,Holnap megkeresem a barátomat.,"to reach out to, to look up",Tomorrow I will reach out to my friend.,0289_megkeres_m.mp3
290,észrevesz,észrevenni,Azonnal észrevettem a hibát a szövegben.,"to notice, to spot",I immediately noticed the mistake in the text.,0290_eszrevesz_m.mp3
291,ébred,ébredni,Reggel hét órakor ébredek.,to wake up,I wake up at seven in the morning.,0291_ebred_m.mp3
292,javasol,javasolni,Javaslok neked egy másik megoldást.,"to suggest, to recommend",I suggest a different solution.,0292_javasol_m.mp3
293,elküld,elküldeni,Holnap elküldöm neked az e-mailt.,to send,I'll send you the email tomorrow.,0293_elkuld_m.mp3
294,baszik ⚠️,baszni,Én tegnap este basztam a barátnőmet.,to fuck,I fucked my girlfriend last night.,0294_baszik_m.mp3
295,támogat,támogatni,Mindig támogatom a barátaimat.,to support,I always support my friends.,0295_tamogat_m.mp3
296,elhoz,elhozni,Holnap elhozom a könyvet.,to bring,I'll bring the book tomorrow.,0296_elhoz_m.mp3
297,megbocsát,megbocsátani,Mindig megbocsátok a barátaimnak.,to forgive,I always forgive my friends.,0297_megbocsat_m.mp3
298,pihen,pihenni,Most pihenek egy kicsit a kanapén.,"to rest, to relax",I'm resting on the sofa for a bit.,0298_pihen_m.mp3
299,kirúg,kirúgni,Tegnap kirúgtak a munkahelyemről.,"to fire, to sack",I got fired from my job yesterday.,0299_kirug_m.mp3
300,távozik,távozni,Most azonnal távozom a teremből.,"to leave, to depart",I am leaving the hall right now.,0300_tavozik_m.mp3
301,megtanul,megtanulni,Tavaly megtanultam jól úszni.,"to learn, to pick up a skill",Last year I learned to swim well.,0301_megtanul_m.mp3
302,lelép,lelépni,Reggel csendben lelépek a buliból.,"to slip away, to sneak out",In the morning I quietly slip out of the party.,0302_lelep_m.mp3
303,odaad,odaadni,Holnap odaadom neked a könyvet.,"to give (over), to hand over",Tomorrow I'll give you the book.,0303_odaad_m.mp3
304,magyaráz,magyarázni,Lassan és türelmesen magyarázza a leckét.,to explain,He explains the lesson slowly and patiently.,0304_magyaraz_m.mp3
305,imádkozik,imádkozni,Minden este imádkozik a szobájában.,to pray,Every evening he prays in his room.,0305_imadkozik_m.mp3
306,abbahagy,abbahagyni,Most abbahagyom a munkát.,"to stop, to quit",I'm stopping work now.,0306_abbahagy_m.mp3
307,letartóztat,letartóztatni,Tegnap letartóztatták a tolvajt.,to arrest,Yesterday the thief was arrested.,0307_letartoztat_m.mp3
308,koncentrál,koncentrálni,Most nem tudok jól koncentrálni.,"to concentrate, to focus",Right now I can't concentrate well.,0308_koncentral_m.mp3
309,átad,átadni,Most átadom neked a könyvet.,"to hand over, to pass on",I'm handing you the book now.,0309_atad_m.mp3
310,megtámad,megtámadni,Hirtelen megtámadtam egy nagy kutyát.,to attack,I suddenly attacked a large dog.,0310_megtamad_m.mp3
311,örvend,örvendeni,Nagyon örvendek a találkozásnak!,"to be delighted, to be glad",I am very glad to meet you!,0311_orvend_m.mp3
312,rendel,rendelni,Egy kávét rendelek a kávézóban.,to order,I am ordering a coffee at the café.,0312_rendel_m.mp3
313,vall,vallani,A rendőrségen őszintén vallottam mindent.,"to confess, to testify","At the police station, I honestly confessed everything.",0313_vall_m.mp3
314,késik,késni,Mindig késem az óráról.,to be late,I am always late for class.,0314_kesik_m.mp3
315,küzd,küzdeni,Minden nap keményen küzdök a céljaimért.,"to fight, to strive",Every day I fight hard for my goals.,0315_kuzd_m.mp3
316,mozog,mozogni,Reggelente sokat mozgok a parkban.,"to move, to exercise",In the mornings I get a lot of exercise in the park.,0316_mozog_m.mp3
317,meglátogat,meglátogatni,Holnap meglátogatom a barátomat.,to visit,Tomorrow I will visit my friend.,0317_meglatogat_m.mp3
318,megér,megérni,Ez a film megéri a pénzt.,to be worth,This movie is worth the money.,0318_meger_m.mp3
319,árt,ártani,A sok cukor árt az egészségnek.,"to harm, to be bad for",A lot of sugar is bad for your health.,0319_art_m.mp3
320,bezár,bezárni,Este mindig bezárom az ajtót.,"to lock, to close",In the evening I always lock the door.,0320_bezar_m.mp3
321,gyűlöl,gyűlölni,Gyűlölöm a hideg időt télen.,to hate,I hate cold weather in winter.,0321_gyulol_m.mp3
322,túlél,túlélni,Szerencsére túléltem a hosszú telet.,"to survive, to get through","Luckily, I survived the long winter.",0322_tulel_m.mp3
323,emlékeztet,emlékeztetni,Mindig emlékeztet engem a régi nyári napokra.,to remind,It always reminds me of those old summer days.,0323_emlekeztet_m.mp3
324,vágyik,vágyni,Néha egy kis nyugalomra vágyom.,to long for,Sometimes I long for a little peace and quiet.,0324_vagyik_m.mp3
325,vacsorázik,vacsorázni,Ma este otthon vacsorázunk.,to have dinner,Tonight we are having dinner at home.,0325_vacsorazik_m.mp3
326,születik,születni,Egy nagyon hideg téli napon születtem.,to be born,I was born on a very cold winter day.,0326_szuletik_m.mp3
327,megegyezik,megegyezni,Végül megegyeztünk az árban.,to agree,We finally agreed on the price.,0327_megegyezik_m.mp3
328,rúg,rúgni,Erősen rúgta a labdát.,to kick,He kicked the ball hard.,0328_rug_m.mp3
329,átmegy,átmenni,Holnap átmegyek a vizsgán.,to pass (an exam),Tomorrow I will pass the exam.,0329_atmegy_m.mp3
330,múlik,múlni,Gyorsan múlik az idő nyáron.,"to pass, to go by",Time passes quickly in summer.,0330_mulik_m.mp3
331,próbálkozik,próbálkozni,Még egyszer próbálkozom holnap reggel.,"to try, to give it a go",I'll try again tomorrow morning.,0331_probalkozik_m.mp3
332,megjön,megjönni,Este végre megjöttem.,"to arrive, to get back",I finally got back in the evening.,0332_megjon_m.mp3
333,figyelmeztet,figyelmeztetni,Mindig figyelmeztet engem a veszélyre.,to warn,He always warns me about the danger.,0333_figyelmeztet_m.mp3
334,rendez,rendezni,Minden évben bulit rendezünk a kertben.,"to organize, to throw",Every year we throw a party in the garden.,0334_rendez_m.mp3
335,mosolyog,mosolyogni,Boldogan mosolygott a tükör előtt.,to smile,She smiled happily in front of the mirror.,0335_mosolyog_m.mp3
336,függ,függeni,A kabát a fogason függ.,to hang,The coat is hanging on the hook.,0336_fugg_m.mp3
337,alakul,alakulni,Lassan minden jól alakul.,"to work out, to take shape",Slowly everything is working out well.,0337_alakul_m.mp3
338,számol,számolni,Minden este számolom a pénzt.,to count,Every evening I count the money.,0338_szamol_m.mp3
339,elenged,elengedni,Most elengedem a kutyát a parkban.,"to let go, to release",I'm letting the dog go in the park now.,0339_elenged_m.mp3
340,könyörög,könyörögni,"Sokáig könyörögtem neki, de nemet mondott.","to beg, to plead","I begged him for a long time, but he said no.",0340_konyorog_m.mp3
341,randizik,randizni,Szombaton este egy fiúval randizom.,to go on a date,I'm going on a date with a guy on Saturday evening.,0341_randizik_m.mp3
342,álmodik,álmodni,Tegnap éjjel szépet álmodtam.,to dream,I had a nice dream last night.,0342_almodik_m.mp3
343,hasonlít,hasonlítani,Nagyon hasonlítasz az anyukádra.,"to look like, to resemble",You look a lot like your mom.,0343_hasonlit_m.mp3
344,költözik,költözni,Jövő hónapban új lakásba költözöm.,to move (home),I'm moving into a new apartment next month.,0344_koltozik_m.mp3
345,feltételez,feltételezni,"Feltételezem, hogy holnap esni fog.","to assume, to suppose",I assume it's going to rain tomorrow.,0345_feltetelez_m.mp3
346,helyez,helyezni,A könyvet az asztalra helyezem.,to place,I'm placing the book on the table.,0346_helyez_m.mp3
347,fest,festeni,Ma kékre festem a szobát.,to paint,Today I'm painting the room blue.,0347_fest_m.mp3
348,bánik,bánni,Mindig kedvesen bánik a vendégekkel.,"to treat, to deal with",He always treats guests kindly.,0348_banik_m.mp3
349,elindul,elindulni,Reggel hétkor elindulunk a vonattal.,"to leave, to set off",We're leaving by train at seven in the morning.,0349_elindul_m.mp3
350,bámul,bámulni,Gyakran bámulom az utcát az ablakból.,"to gaze at, to stare at",I often gaze at the street from the window.,0350_bamul_m.mp3
351,származik,származni,Én Oroszországból származom.,"to come from, to be from",I am from Russia.,0351_szarmazik_m.mp3
352,kiderít,kideríteni,Holnap kiderítem az igazságot.,"to find out, to uncover",Tomorrow I will find out the truth.,0352_kiderit_m.mp3
353,átvesz,átvenni,Holnap átveszem a csomagot a postán.,"to pick up, to collect",Tomorrow I will pick up the package at the post office.,0353_atvesz_m.mp3
354,szabadul,szabadulni,Holnap szabadulok a kórházból.,"to get out of, to be released from",Tomorrow I am getting out of the hospital.,0354_szabadul_m.mp3
355,dug,dugni,A kulcsot a zsebembe dugom.,"to put, to slip",I put the key in my pocket.,0355_dug_m.mp3
356,indít,indítani,Reggel mindig elsőként indítom a számítógépet.,"to start up, to boot up",I am always the first to start up the computer in the morning.,0356_indit_m.mp3
357,megenged,megengedni,"Ma megengedem, hogy tovább játssz.","to allow, to let",Today I will let you play longer.,0357_megenged_m.mp3
358,főz,főzni,Ma este levest főzök vacsorára.,"to cook, to make",Tonight I am making soup for dinner.,0358_foz_m.mp3
359,parancsol,parancsolni,"Ne parancsolj nekem, kérlek!","to order around, to boss around",Please don't order me around!,0359_parancsol_m.mp3
360,üdvözöl,üdvözölni,Üdvözlöm a vendégeket az ajtóban.,"to greet, to welcome",I greet the guests at the door.,0360_udvozol_m.mp3
361,biztosít,biztosítani,Minden évben biztosítom az autómat.,to insure,I insure my car every year.,0361_biztosit_m.mp3
362,lelő,lelőni,Egy nyulat lőtt le a réten.,to shoot dead,He shot a rabbit dead in the meadow.,0362_lelo_m.mp3
363,megtart,megtartani,Megtartom ezt a régi könyvet.,to keep,I'm keeping this old book.,0363_megtart_m.mp3
364,old,oldani,A sót vízben oldom.,to dissolve,I dissolve the salt in water.,0364_old_m.mp3
365,megvesz,megvenni,Holnap megveszem ezt a könyvet.,to buy,I'll buy this book tomorrow.,0365_megvesz_m.mp3
366,következik,következni,Most te következel a sorban.,to be next (in line),You're next in line now.,0366_kovetkezik_m.mp3
367,flörtöl,flörtölni,A buliban sokat flörtöl velem.,to flirt,He is flirting with me a lot at the party.,0367_flortol_m.mp3
368,illik,illeni,Ez a kalap nagyon jól illik hozzád.,"to suit, to go well with",This hat suits you really well.,0368_illik_m.mp3
369,nyúl,nyúlni,Ne nyúlj a forró tűzhelyhez!,"to touch, to reach for",Don't touch the hot stove!,0369_nyul_m.mp3
370,megmagyaráz,megmagyarázni,Holnap megmagyarázom neked a feladatot.,to explain,I'll explain the task to you tomorrow.,0370_megmagyaraz_m.mp3
371,hord,hordani,Télen mindig meleg sapkát hordok.,to wear,In winter I always wear a warm hat.,0371_hord_m.mp3
372,elrabol,elrabolni,A filmben elrabolják a kislányt.,to kidnap,"In the film, they kidnap a little girl.",0372_elrabol_m.mp3
373,meggondol,meggondolni,Holnapig meggondolom a dolgot.,to think over,I'll think it over by tomorrow.,0373_meggondol_m.mp3
374,ragad,ragadni,Ma egész nap itthon ragadtam.,to be stuck,I was stuck at home all day today.,0374_ragad_m.mp3
375,hajt,hajtani,Gyorsan hajtok az autópályán.,to drive,I'm driving fast on the motorway.,0375_hajt_m.mp3
376,felismer,felismerni,Azonnal felismertem a régi barátomat.,to recognize,I recognized my old friend right away.,0376_felismer_m.mp3
377,kiabál,kiabálni,Miért kiabálsz rám ilyen hangosan?,"to shout, to yell",Why are you shouting at me so loudly?,0377_kiabal_m.mp3
378,osztozik,osztozni,Mindig osztozunk a süteményen.,to share,We always share the cake.,0378_osztozik_m.mp3
379,von,vonni,Magára vonja a figyelmet.,to attract,He attracts attention to himself.,0379_von_m.mp3
380,belép,belépni,Reggel nyolckor belépek az irodába.,"to enter, to walk into",I walk into the office at eight in the morning.,0380_belep_m.mp3
381,feltesz,feltenni,Mindig sok kérdést teszek fel az órán.,to ask (a question),I always ask a lot of questions in class.,0381_feltesz_m.mp3
382,kihagy,kihagyni,Ma reggel kihagytam a reggelit.,"to skip, to miss",I skipped breakfast this morning.,0382_kihagy_m.mp3
383,felébred,felébredni,Reggel korán felébredtem.,to wake up,I woke up early in the morning.,0383_felebred_m.mp3
384,sejt,sejteni,Már régóta sejtettem az igazságot.,"to suspect, to sense",I had suspected the truth for a long time.,0384_sejt_m.mp3
385,ejt,ejteni,Néha véletlenül ejtek egy poharat.,to drop,Sometimes I accidentally drop a glass.,0385_ejt_m.mp3
386,szerepel,szerepelni,Holnap szerepelek egy színdarabban.,"to perform, to appear",Tomorrow I'm performing in a play.,0386_szerepel_m.mp3
387,legyőz,legyőzni,Tegnap könnyen legyőztem a barátomat sakkban.,"to beat, to defeat",Yesterday I easily beat my friend at chess.,0387_legyoz_m.mp3
388,kimond,kimondani,Végre kimondtam az igazságot.,"to speak out, to say out loud",I finally spoke the truth out loud.,0388_kimond_m.mp3
389,gyakorol,gyakorolni,Minden reggel gyakorlom a magyar szavakat.,to practice,Every morning I practice the Hungarian words.,0389_gyakorol_m.mp3
390,szakít,szakítani,Tegnap szakított a barátjával.,to break up (with someone),Yesterday she broke up with her boyfriend.,0390_szakit_m.mp3
391,felkészül,felkészülni,Holnap jól felkészülök a vizsgára.,"to prepare (for), to get ready (for)",Tomorrow I will prepare well for the exam.,0391_felkeszul_m.mp3
392,hibáztat,hibáztatni,Mindig másokat hibáztat a hibákért.,to blame,He always blames others for mistakes.,0392_hibaztat_m.mp3
393,eldönt,eldönteni,"Holnap eldöntöm, hová utazunk.",to decide,Tomorrow I will decide where we will go.,0393_eldont_m.mp3
394,csal,csalni,Soha nem csalok a vizsgán.,to cheat,I never cheat on exams.,0394_csal_m.mp3
395,felel,felelni,Mindig gyorsan felel a kérdésekre.,"to answer, to respond",She always answers questions quickly.,0395_felel_m.mp3
396,meghív,meghívni,Holnap meghívlak egy kávéra.,to invite,Tomorrow I will invite you for a coffee.,0396_meghiv_m.mp3
397,akad,akadni,A halászléban néha akad egy szálka.,"to turn up, to be found",Sometimes a fishbone turns up in fish soup.,0397_akad_m.mp3
398,ragaszkodik,ragaszkodni,Mindig ragaszkodom a reggeli kávémhoz.,"to stick to, to be attached to",I always stick to my morning coffee.,0398_ragaszkodik_m.mp3
399,kifizet,kifizetni,Tegnap kifizettem a számlát.,"to pay, to settle (a bill)",Yesterday I paid the bill.,0399_kifizet_m.mp3
400,tisztel,tisztelni,Nagyon tisztelem a tanáromat.,to respect,I greatly respect my teacher.,0400_tisztel_m.mp3
401,fedez,fedezni,A biztosítás mindent fedez.,to cover,The insurance covers everything.,0401_fedez_m.mp3
402,érdemel,érdemelni,Szerintem jobb fizetést érdemelsz.,to deserve,I think you deserve a better salary.,0402_erdemel_m.mp3
403,azonosít,azonosítani,Gyorsan azonosítottam a problémát.,to identify,I quickly identified the problem.,0403_azonosit_m.mp3
404,kinyír,kinyírni,Tegnap kinyírtak egy bankrablót.,"to bump off, to take out",Yesterday they bumped off a bank robber.,0404_kinyir_m.mp3
405,megérdemel,megérdemelni,Megérdemelsz egy kis pihenést ma.,to deserve,You deserve a little rest today.,0405_megerdemel_m.mp3
406,elkésik,elkésni,Ma reggel elkéstem a munkáról.,to be late,I was late for work this morning.,0406_elkesik_m.mp3
407,hazajön,hazajönni,Ma este későn jövök haza.,to come home,I'm coming home late tonight.,0407_hazajon_m.mp3
408,tekint,tekinteni,Barátomnak tekintem őt.,"to consider, to regard as",I consider him my friend.,0408_tekint_m.mp3
409,elmagyaráz,elmagyarázni,Most elmagyarázom neked a feladatot.,to explain,I'll explain the task to you now.,0409_elmagyaraz_m.mp3
410,cselekszik,cselekedni,Mindig gyorsan cselekszem vészhelyzetben.,to act,I always act quickly in an emergency.,0410_cselekszik_m.mp3
411,megszabadul,megszabadulni,Végre megszabadultam a régi telefonomtól.,"to get rid of, to free oneself from",I finally got rid of my old phone.,0411_megszabadul_m.mp3
412,cserél,cserélni,Holnap pénzt cserélek a bankban.,"to exchange, to change (money)",Tomorrow I'm changing money at the bank.,0412_cserel_m.mp3
413,tisztáz,tisztázni,Tegnap végre tisztáztuk a félreértést.,"to clear up, to sort out",Yesterday we finally cleared up the misunderstanding.,0413_tisztaz_m.mp3
414,megnyer,megnyerni,Tegnap megnyertük a meccset.,to win,Yesterday we won the match.,0414_megnyer_m.mp3
415,felkel,felkelni,Minden reggel hatkor felkelek.,"to get up, to rise",I get up at six every morning.,0415_felkel_m.mp3
416,lemond,lemondani,Lemondok a holnapi találkozóról.,"to cancel, to call off",I'm cancelling tomorrow's meeting.,0416_lemond_m.mp3
417,közeledik,közeledni,Lassan közeledünk a városhoz.,"to approach, to get closer",We are slowly approaching the city.,0417_kozeledik_m.mp3
418,eljut,eljutni,Gyorsan eljutottam a vasútállomásra.,"to get to, to reach",I got to the train station quickly.,0418_eljut_m.mp3
419,vizsgál,vizsgálni,Most vizsgálom a beteget.,to examine,I'm examining the patient now.,0419_vizsgal_m.mp3
420,ünnepel,ünnepelni,Ma este a barátaimmal ünnepelünk.,to celebrate,Tonight we're celebrating with my friends.,0420_unnepel_m.mp3
421,kényszerít,kényszeríteni,Nem kényszerítelek semmire.,"to force, to compel",I'm not forcing you to do anything.,0421_kenyszerit_m.mp3
422,vádol,vádolni,Mindig engem vádolnak lopással.,to accuse,They always accuse me of stealing.,0422_vadol_m.mp3
423,öregszik,öregedni,Az ember lassan öregszik.,"to grow old, to age",People grow old slowly.,0423_oregszik_m.mp3
424,megfelel,megfelelni,Ez az időpont nekem tökéletesen megfelel.,"to suit, to work for",This time works perfectly for me.,0424_megfelel_m.mp3
425,lemegy,lemenni,Reggel mindig gyorsan lemegyek a boltba.,to go down (to),Every morning I quickly go down to the shop.,0425_lemegy_m.mp3
426,átnéz,átnézni,Reggel mindig átnézem az e-mailjeimet.,"to go through, to check over",Every morning I go through my emails.,0426_atnez_m.mp3
427,úszik,úszni,Reggelente a tóban úszom.,to swim,In the mornings I swim in the lake.,0427_uszik_m.mp3
428,reagál,reagálni,Gyorsan reagáltam az üzenetre.,"to respond, to react",I responded to the message quickly.,0428_reagal_m.mp3
429,tönkretesz,tönkretenni,Tegnap véletlenül tönkretettem a telefonomat.,"to ruin, to wreck",Yesterday I accidentally ruined my phone.,0429_tonkretesz_m.mp3
430,felfog,felfogni,Most végre felfogom a helyzetet.,"to grasp, to understand",Now I finally understand the situation.,0430_felfog_m.mp3
431,odamegy,odamenni,"Odamegyek a pénztárhoz, és fizetek.","to walk up to, to go up to",I walk up to the checkout and pay.,0431_odamegy_m.mp3
432,aláír,aláírni,Ma reggel aláírtam a szerződést.,to sign,I signed the contract this morning.,0432_alair_m.mp3
433,megfog,megfogni,Gyorsan megfogtam a labdát.,"to catch, to grab",I caught the ball quickly.,0433_megfog_m.mp3
434,csap,csapni,Néha az asztalra csapok dühömben.,"to slam, to slap",Sometimes I bang on the table in anger.,0434_csap_m.mp3
435,mos,mosni,Reggel mindig kezet mosok.,to wash,I always wash my hands in the morning.,0435_mos_m.mp3
436,utal,utalni,Holnap utalom a pénzt.,to transfer (money),I'll transfer the money tomorrow.,0436_utal_m.mp3
437,javít,javítani,Most javítom a régi biciklimet.,"to fix, to repair",I'm fixing my old bike right now.,0437_javit_m.mp3
438,csókol,csókolni,Reggel mindig megpuszilom és csókolom őt.,to kiss,Every morning I give them a peck and a kiss.,0438_csokol_m.mp3
439,leül,leülni,"Fáradt vagyok, leülök egy kicsit.",to sit down,"I'm tired, I'll sit down for a bit.",0439_leul_m.mp3
440,fúj,fújni,Ma erősen fúj a szél kint.,to blow,The wind is blowing hard outside today.,0440_fuj_m.mp3
441,felmegy,felmenni,Reggel gyalog megyek fel a lépcsőn.,"to go up, to walk up",In the morning I walk up the stairs.,0441_felmegy_m.mp3
442,levesz,levenni,Reggel mindig leveszem a kabátomat.,to take off,I always take off my coat in the morning.,0442_levesz_m.mp3
443,kockáztat,kockáztatni,Most nem kockáztatok semmit.,to risk,Right now I'm not risking anything.,0443_kockaztat_m.mp3
444,rohan,rohanni,Minden reggel a buszhoz rohanok.,"to rush, to dash",Every morning I rush to the bus.,0444_rohan_m.mp3
445,elolvas,elolvasni,Tegnap elolvastam egy érdekes könyvet.,"to read (through), to finish reading",Yesterday I read an interesting book.,0445_elolvas_m.mp3
446,üldöz,üldözni,Üldözzük a tolvajt az utcán.,"to chase, to pursue",We are chasing the thief on the street.,0446_uldoz_m.mp3
447,odaér,odaérni,Időben odaértünk az állomásra.,"to get there, to arrive",We got to the station on time.,0447_odaer_m.mp3
448,elképzel,elképzelni,Nehezen képzelem el a jövőt.,"to imagine, to picture",It is hard for me to imagine the future.,0448_elkepzel_m.mp3
