№,Ige (HU),Infinitivus,Példamondat (HU),Глагол (RU),Перевод (RU),Audio
215,megold,megoldani,Gyorsan megoldottam a feladatot.,решать / решить,Я быстро решил задание.,0215_megold_m.mp3
216,megvéd,megvédeni,Mindig megvédelek a barátaid előtt.,защитить,Я всегда защищаю тебя перед твоими друзьями.,0216_megved_m.mp3
217,intéz,intézni,Holnap intézem a banki ügyeket.,"улаживать, устраивать (дела)",Завтра я улажу банковские дела.,0217_intez_m.mp3
218,mer,merni,Nem merek éjszaka egyedül hazamenni.,"сметь, осмеливаться",Я не смею ночью идти домой один.,0218_mer_m.mp3
219,rak,rakni,A könyveket az asztalra rakom.,"класть, складывать",Я кладу книги на стол.,0219_rak_m.mp3
220,irányít,irányítani,Ő irányítja a nagy projektet.,"управлять, руководить; направлять",Он руководит большим проектом.,0220_iranyit_m.mp3
221,bejön,bejönni,Mindig korán bejövök az irodába.,входить / войти,Я всегда рано прихожу в офис.,0221_bejon_m.mp3
222,gondolkozik,gondolkozni,Most a holnapi vacsorán gondolkozom.,"думать, размышлять",Сейчас я думаю о завтрашнем ужине.,0222_gondolkozik_m.mp3
223,ellenőriz,ellenőrizni,Reggel mindig ellenőrzöm az e-mailjeimet.,проверять / проверить,Утром я всегда проверяю свою электронную почту.,0223_ellenoriz_m.mp3
224,visszamegy,visszamenni,Holnap visszamegyek a boltba.,возвращаться / вернуться,Завтра я вернусь в магазин.,0224_visszamegy_m.mp3
225,bizonyít,bizonyítani,A rendőröknek könnyen bizonyítottam az igazamat.,доказывать / доказать,Я легко доказал полицейским свою правоту.,0225_bizonyit_m.mp3
226,megváltozik,megváltozni,Az időjárás hirtelen megváltozott délután.,измениться,Погода внезапно изменилась во второй половине дня.,0226_megvaltozik_m.mp3
227,énekel,énekelni,A zuhany alatt mindig énekelek.,петь,Под душем я всегда пою.,0227_enekel_m.mp3
228,bemegy,bemenni,Reggel korán bemegyek az irodába.,входить / войти,Утром я рано вхожу в офис.,0228_bemegy_m.mp3
229,telik,telni,Az idő gyorsan telik a munkahelyen.,проходить (о времени),Время быстро проходит на работе.,0229_telik_m.mp3
230,köt,kötni,Most egy meleg sálat kötök.,вязать; связывать,Сейчас я вяжу тёплый шарф.,0230_kot_m.mp3
231,csatlakozik,csatlakozni,Holnap csatlakozom hozzátok a parkban.,присоединяться / присоединиться,Завтра я присоединюсь к вам в парке.,0231_csatlakozik_m.mp3
232,bocsát,bocsátani,Délután szabadon bocsátják a foglyot.,"отпускать, выпускать",Днём отпускают заключённого на свободу.,0232_bocsat_m.mp3
233,tanít,tanítani,Minden nap angolt tanítok az iskolában.,учить; преподавать,Я каждый день преподаю английский в школе.,0233_tanit_m.mp3
234,elad,eladni,Holnap eladom a régi biciklimet.,продавать / продать,Завтра я продам свой старый велосипед.,0234_elad_m.mp3
235,viselkedik,viselkedni,Ma nagyon jól viselkedik az osztályban.,вести себя,Сегодня он очень хорошо ведёт себя в классе.,0235_viselkedik_m.mp3
236,győz,győzni,Ma este biztosan győzünk a meccsen.,побеждать / победить,Сегодня вечером мы наверняка победим в матче.,0236_gyoz_m.mp3
237,mozdul,mozdulni,Reggel nagyon nehezen mozdulok.,пошевелиться,Утром мне очень трудно пошевелиться.,0237_mozdul_m.mp3
238,sétál,sétálni,Minden reggel a parkban sétálok.,гулять; прогуливаться,Каждое утро я гуляю в парке.,0238_setal_m.mp3
239,megáll,megállni,A piros lámpánál mindig megállunk.,останавливаться / остановиться,На красный свет мы всегда останавливаемся.,0239_megall_m.mp3
240,fekszik,feküdni,Este tíz órakor az ágyban fekszem.,лежу,Вечером в десять часов я лежу в кровати.,0240_fekszik_m.mp3
241,megérkezik,megérkezni,Holnap reggel érkezünk meg Budapestre.,прибывать / прибыть,Завтра утром мы прибудем в Будапешт.,0241_megerkezik_m.mp3
242,megbeszél,megbeszélni,Holnap megbeszéljük a tervet.,обсуждать / обсудить,Завтра мы обсудим план.,0242_megbeszel_m.mp3
243,szolgál,szolgálni,Két évig szolgáltam a hadseregben.,служить,Я служил в армии два года.,0243_szolgal_m.mp3
244,egyetért,egyetérteni,Teljesen egyetértek veled ebben.,"соглашаться, быть согласным",Я полностью с тобой в этом согласен.,0244_egyetert_m.mp3
245,repül,repülni,Holnap Budapestre repülök.,"лететь, летать",Завтра я лечу в Будапешт.,0245_repul_m.mp3
246,utazik,utazni,Nyáron gyakran utazom a tengerhez.,путешествовать; ехать,Летом я часто езжу к морю.,0246_utazik_m.mp3
247,vet,vetni,Tavasszal búzát vetünk a földbe.,бросать; сеять,Весной мы сеем пшеницу в землю.,0247_vet_m.mp3
248,elveszít,elveszíteni,Tegnap elveszítettem a kulcsomat a parkban.,терять / потерять,Вчера я потерял свой ключ в парке.,0248_elveszit_m.mp3
249,illet,illetni,Ez a kérdés engem is illet.,"касаться (кого-л.), относиться (к кому-л.)",Этот вопрос касается и меня.,0249_illet_m.mp3
250,basz ⚠️,baszni,Tegnap este végre megint basztunk.,"трахать, ебать (груб.)",Вчера вечером мы наконец снова трахались.,0250_basz_m.mp3
251,művel,művelni,Most a kertet műveljük.,обрабатывать,Сейчас мы обрабатываем сад.,0251_muvel_m.mp3
252,lop,lopni,Néha lopok cukrot a boltban.,краду,Иногда я краду сахар в магазине.,0252_lop_m.mp3
253,vállal,vállalni,Szívesen vállalom a nehéz feladatot.,брать на себя; браться (за что-л.),Я охотно берусь за трудное задание.,0253_vallal_m.mp3
254,emlékezik,emlékezni,Jól emlékszem erre a napra.,"помнить, вспоминать (на что-л. — -ra/-re)",Я хорошо помню этот день.,0254_emlekezik_m.mp3
255,elárul,elárulni,Soha nem árulom el a titkodat.,"выдавать (тайну), раскрывать",Я никогда не выдам твой секрет.,0255_elarul_m.mp3
256,ajánl,ajánlani,Ajánlok neked egy jó éttermet.,рекомендовать; предлагать,Я рекомендую тебе хороший ресторан.,0256_ajanl_m.mp3
257,emel,emelni,Lassan emelem a nehéz dobozt.,поднимать,Я медленно поднимаю тяжёлую коробку.,0257_emel_m.mp3
258,megad,megadni,Holnap megadom neked a pénzt.,отдавать; возвращать (долг),Завтра я отдам тебе деньги.,0258_megad_m.mp3
259,bemutat,bemutatni,Holnap bemutatom az új kollégámat.,представлять; показывать,Завтра я представлю своего нового коллегу.,0259_bemutat_m.mp3
260,értékel,értékelni,Nagyon értékelem a segítségedet.,ценить; оценивать,Я очень ценю твою помощь.,0260_ertekel_m.mp3
261,jelentkezik,jelentkezni,Holnap jelentkezem egy nyelvtanfolyamra.,записываться (куда-л.),Завтра я запишусь на языковые курсы.,0261_jelentkezik_m.mp3
262,kinyit,kinyitni,Reggel mindig kinyitom az ablakot.,открывать / открыть,Утром я всегда открываю окно.,0262_kinyit_m.mp3
263,telefonál,telefonálni,Este telefonálok a barátomnak.,звонить (по телефону),Вечером я звоню своему другу.,0263_telefonal_m.mp3
264,eltűnik,eltűnni,Reggelre eltűnt a hó az utcáról.,исчезать / исчезнуть,К утру снег исчез с улицы.,0264_eltunik_m.mp3
265,épít,építeni,Most egy nagy házat építünk.,строить / построить,Сейчас мы строим большой дом.,0265_epit_m.mp3
266,lóg,lógni,A kabát a szekrényben lóg.,висеть,Пальто висит в шкафу.,0266_log_m.mp3
267,foglal,foglalni,Asztalt foglalok ma este a vacsorához.,бронировать; занимать,Я бронирую столик сегодня вечером на ужин.,0267_foglal_m.mp3
268,gondoskodik,gondoskodni,Mindig gondoskodom a növényekről.,заботиться (о ком/чём-л.),Я всегда забочусь о растениях.,0268_gondoskodik_m.mp3
269,említ,említeni,Tegnap említettem ezt a problémát.,упоминать / упомянуть,Вчера я упомянул эту проблему.,0269_emlit_m.mp3
270,ment,menteni,Tegnap mentett egy kiskutyát a folyóból.,спас,Вчера он спас щенка из реки.,0270_ment_m.mp3
271,lefekszik,lefeküdni,Este tíz órakor fekszem le.,ложиться (спать),Вечером в десять часов я ложусь спать.,0271_lefekszik_m.mp3
272,kimegy,kimenni,Reggel kimegyek a kertbe.,выходить / выйти (наружу),Утром я выхожу в сад.,0272_kimegy_m.mp3
273,felad,feladni,Soha nem adom fel a céljaimat.,сдаваться; отказываться (от чего-л.); сдавать (письмо),Я никогда не отказываюсь от своих целей.,0273_felad_m.mp3
274,kijön,kijönni,Lassan kijövök a házból.,выхожу,Я медленно выхожу из дома.,0274_kijon_m.mp3
275,ugrik,ugrani,Reggel mindig ugrom egyet.,прыгать / прыгнуть,Утром я всегда немного прыгаю.,0275_ugrik_m.mp3
276,meglesz,meglenni,Holnapra meglesz az ebéd.,будет готов; появится,К завтрашнему дню обед будет готов.,0276_meglesz_m.mp3
277,hazamegy,hazamenni,Délután korán hazamegyek a munkából.,идти / пойти домой,Днём я рано иду домой с работы.,0277_hazamegy_m.mp3
278,idejön,idejönni,"Idejössz hozzám holnap, kérlek?",подойти,"Ты подойдёшь ко мне завтра, пожалуйста?",0278_idejon_m.mp3
279,megismer,megismerni,Tegnap megismertem egy kedves lányt.,познакомиться (с кем-то); узнать,Вчера я познакомился с одной милой девушкой.,0279_megismer_m.mp3
280,szenved,szenvedni,Télen mindig sokat szenvedek a hidegtől.,"страдать, мучиться",Зимой я всегда сильно страдаю от холода.,0280_szenved_m.mp3
281,megszerez,megszerezni,Tegnap megszereztem a jegyeket a koncertre.,"достать, раздобыть",Вчера я достал билеты на концерт.,0281_megszerez_m.mp3
282,megállít,megállítani,Megállította az autót az úton.,остановил,Он остановил машину на дороге.,0282_megallit_m.mp3
283,nevet,nevetni,Most nagyon hangosan nevet.,смеяться,Сейчас он очень громко смеётся.,0283_nevet_m.mp3
284,megőrül,megőrülni,Majdnem megőrültem ettől a zajtól.,сходить / сойти с ума,Я чуть не сошёл с ума от этого шума.,0284_megorul_m.mp3
285,menekül,menekülni,Gyorsan menekülök a hideg elől.,убегаю,Я быстро убегаю от холода.,0285_menekul_m.mp3
286,megváltoztat,megváltoztatni,Holnap megváltoztatom a jelszavamat.,изменять / изменить,Завтра я изменю свой пароль.,0286_megvaltoztat_m.mp3
287,veszít,veszíteni,Tegnap megint veszítettünk egy fontos meccset.,терять; проигрывать,Вчера мы снова проиграли важный матч.,0287_veszit_m.mp3
288,vél,vélni,Okos embernek vélem őt.,считать,Я считаю его умным человеком.,0288_vel_m.mp3
289,megkeres,megkeresni,Holnap megkeresem a barátomat.,разыскать; обратиться к кому-л.,Завтра я разыщу своего друга (обращусь к своему другу).,0289_megkeres_m.mp3
290,észrevesz,észrevenni,Azonnal észrevettem a hibát a szövegben.,замечать / заметить,Я сразу заметил ошибку в тексте.,0290_eszrevesz_m.mp3
291,ébred,ébredni,Reggel hét órakor ébredek.,просыпаться,Я просыпаюсь утром в семь часов.,0291_ebred_m.mp3
292,javasol,javasolni,Javaslok neked egy másik megoldást.,"советовать, предлагать",Я предлагаю тебе другое решение.,0292_javasol_m.mp3
293,elküld,elküldeni,Holnap elküldöm neked az e-mailt.,отправлять / отослать,Завтра я отправлю тебе электронное письмо.,0293_elkuld_m.mp3
294,baszik ⚠️,baszni,Én tegnap este basztam a barátnőmet.,трахать; ёб*ть,Вчера вечером я трахал свою девушку.,0294_baszik_m.mp3
295,támogat,támogatni,Mindig támogatom a barátaimat.,поддерживать,Я всегда поддерживаю своих друзей.,0295_tamogat_m.mp3
296,elhoz,elhozni,Holnap elhozom a könyvet.,приносить / принести,Завтра я принесу книгу.,0296_elhoz_m.mp3
297,megbocsát,megbocsátani,Mindig megbocsátok a barátaimnak.,прощать / простить,Я всегда прощаю своих друзей.,0297_megbocsat_m.mp3
298,pihen,pihenni,Most pihenek egy kicsit a kanapén.,отдыхать,Сейчас я немного отдыхаю на диване.,0298_pihen_m.mp3
299,kirúg,kirúgni,Tegnap kirúgtak a munkahelyemről.,увольнять / уволить,Вчера меня уволили с работы.,0299_kirug_m.mp3
300,távozik,távozni,Most azonnal távozom a teremből.,уходить / уйти,Я сейчас же ухожу из зала.,0300_tavozik_m.mp3
301,megtanul,megtanulni,Tavaly megtanultam jól úszni.,выучить; научиться,В прошлом году я научился хорошо плавать.,0301_megtanul_m.mp3
302,lelép,lelépni,Reggel csendben lelépek a buliból.,"смыться, свалить (уйти)",Утром я тихо сваливаю с вечеринки.,0302_lelep_m.mp3
303,odaad,odaadni,Holnap odaadom neked a könyvet.,отдавать / отдать,Завтра я отдам тебе книгу.,0303_odaad_m.mp3
304,magyaráz,magyarázni,Lassan és türelmesen magyarázza a leckét.,объясняет,Он медленно и терпеливо объясняет урок.,0304_magyaraz_m.mp3
305,imádkozik,imádkozni,Minden este imádkozik a szobájában.,молится,Каждый вечер он молится в своей комнате.,0305_imadkozik_m.mp3
306,abbahagy,abbahagyni,Most abbahagyom a munkát.,прекращать / бросать,Сейчас я прекращаю работу.,0306_abbahagy_m.mp3
307,letartóztat,letartóztatni,Tegnap letartóztatták a tolvajt.,арестовывать / арестовать,Вчера арестовали вора.,0307_letartoztat_m.mp3
308,koncentrál,koncentrálni,Most nem tudok jól koncentrálni.,сосредотачиваться; концентрироваться,Сейчас я не могу хорошо сосредоточиться.,0308_koncentral_m.mp3
309,átad,átadni,Most átadom neked a könyvet.,передавать / передать,Сейчас я передаю тебе книгу.,0309_atad_m.mp3
310,megtámad,megtámadni,Hirtelen megtámadtam egy nagy kutyát.,напал,Я внезапно напал на большую собаку.,0310_megtamad_m.mp3
311,örvend,örvendeni,Nagyon örvendek a találkozásnak!,радоваться; быть радым,Я очень рад встрече!,0311_orvend_m.mp3
312,rendel,rendelni,Egy kávét rendelek a kávézóban.,заказывать / заказать,Я заказываю кофе в кафе.,0312_rendel_m.mp3
313,vall,vallani,A rendőrségen őszintén vallottam mindent.,признаваться; давать показания,В полиции я честно во всём признался.,0313_vall_m.mp3
314,késik,késni,Mindig késem az óráról.,опаздывать,Я всегда опаздываю на урок.,0314_kesik_m.mp3
315,küzd,küzdeni,Minden nap keményen küzdök a céljaimért.,"бороться, сражаться",Каждый день я упорно борюсь за свои цели.,0315_kuzd_m.mp3
316,mozog,mozogni,Reggelente sokat mozgok a parkban.,двигаться,По утрам я много двигаюсь в парке.,0316_mozog_m.mp3
317,meglátogat,meglátogatni,Holnap meglátogatom a barátomat.,навещать / навестить,Завтра я навещу своего друга.,0317_meglatogat_m.mp3
318,megér,megérni,Ez a film megéri a pénzt.,стоить (того),Этот фильм стоит своих денег.,0318_meger_m.mp3
319,árt,ártani,A sok cukor árt az egészségnek.,вредить / навредить,Много сахара вредит здоровью.,0319_art_m.mp3
320,bezár,bezárni,Este mindig bezárom az ajtót.,закрывать / запирать,Вечером я всегда закрываю дверь (на ключ).,0320_bezar_m.mp3
321,gyűlöl,gyűlölni,Gyűlölöm a hideg időt télen.,ненавидеть,Я ненавижу холодную погоду зимой.,0321_gyulol_m.mp3
322,túlél,túlélni,Szerencsére túléltem a hosszú telet.,"выжить, пережить","К счастью, я пережил долгую зиму.",0322_tulel_m.mp3
323,emlékeztet,emlékeztetni,Mindig emlékeztet engem a régi nyári napokra.,напоминать / напомнить,Это всегда напоминает мне о старых летних днях.,0323_emlekeztet_m.mp3
324,vágyik,vágyni,Néha egy kis nyugalomra vágyom.,"жаждать, страстно желать",Иногда я жажду немного покоя.,0324_vagyik_m.mp3
325,vacsorázik,vacsorázni,Ma este otthon vacsorázunk.,ужинать,Сегодня вечером мы ужинаем дома.,0325_vacsorazik_m.mp3
326,születik,születni,Egy nagyon hideg téli napon születtem.,рождаться / родиться,Я родился в очень холодный зимний день.,0326_szuletik_m.mp3
327,megegyezik,megegyezni,Végül megegyeztünk az árban.,договариваться / договориться,В конце концов мы договорились о цене.,0327_megegyezik_m.mp3
328,rúg,rúgni,Erősen rúgta a labdát.,ударил,Он сильно ударил по мячу.,0328_rug_m.mp3
329,átmegy,átmenni,Holnap átmegyek a vizsgán.,переходить / перейти; сдать (экзамен),Завтра я сдам экзамен.,0329_atmegy_m.mp3
330,múlik,múlni,Gyorsan múlik az idő nyáron.,проходить (о времени),Летом время проходит быстро.,0330_mulik_m.mp3
331,próbálkozik,próbálkozni,Még egyszer próbálkozom holnap reggel.,"пробовать, пытаться",Я попробую ещё раз завтра утром.,0331_probalkozik_m.mp3
332,megjön,megjönni,Este végre megjöttem.,пришёл,Вечером я наконец-то пришёл.,0332_megjon_m.mp3
333,figyelmeztet,figyelmeztetni,Mindig figyelmeztet engem a veszélyre.,предупреждать,Он всегда предупреждает меня об опасности.,0333_figyelmeztet_m.mp3
334,rendez,rendezni,Minden évben bulit rendezünk a kertben.,устраивать / организовывать (вечеринку); режиссировать,Каждый год мы устраиваем вечеринку в саду.,0334_rendez_m.mp3
335,mosolyog,mosolyogni,Boldogan mosolygott a tükör előtt.,улыбаться,Она счастливо улыбалась перед зеркалом.,0335_mosolyog_m.mp3
336,függ,függeni,A kabát a fogason függ.,висеть; зависеть,Пальто висит на вешалке.,0336_fugg_m.mp3
337,alakul,alakulni,Lassan minden jól alakul.,"складываться, формироваться",Постепенно всё складывается хорошо.,0337_alakul_m.mp3
338,számol,számolni,Minden este számolom a pénzt.,считать,Каждый вечер я считаю деньги.,0338_szamol_m.mp3
339,elenged,elengedni,Most elengedem a kutyát a parkban.,отпускать / отпустить,Сейчас я отпускаю собаку в парке.,0339_elenged_m.mp3
340,könyörög,könyörögni,"Sokáig könyörögtem neki, de nemet mondott.",умолять; молить,"Я долго умолял его, но он сказал нет.",0340_konyorog_m.mp3
341,randizik,randizni,Szombaton este egy fiúval randizom.,ходить на свидания; встречаться,В субботу вечером у меня свидание с парнем.,0341_randizik_m.mp3
342,álmodik,álmodni,Tegnap éjjel szépet álmodtam.,видеть сон; мечтать,Прошлой ночью мне приснился хороший сон.,0342_almodik_m.mp3
343,hasonlít,hasonlítani,Nagyon hasonlítasz az anyukádra.,"быть похожим, походить",Ты очень похож на свою маму.,0343_hasonlit_m.mp3
344,költözik,költözni,Jövő hónapban új lakásba költözöm.,переезжать / переехать,В следующем месяце я переезжаю в новую квартиру.,0344_koltozik_m.mp3
345,feltételez,feltételezni,"Feltételezem, hogy holnap esni fog.",предполагать / предположить,"Я предполагаю, что завтра будет дождь.",0345_feltetelez_m.mp3
346,helyez,helyezni,A könyvet az asztalra helyezem.,класть / помещать,Я кладу книгу на стол.,0346_helyez_m.mp3
347,fest,festeni,Ma kékre festem a szobát.,красить; рисовать; выглядеть,Сегодня я крашу комнату в синий цвет.,0347_fest_m.mp3
348,bánik,bánni,Mindig kedvesen bánik a vendégekkel.,обращаться (с кем-л.),Он всегда любезно обращается с гостями.,0348_banik_m.mp3
349,elindul,elindulni,Reggel hétkor elindulunk a vonattal.,"отправляться / отправиться, трогаться",Утром в семь мы отправляемся на поезде.,0349_elindul_m.mp3
350,bámul,bámulni,Gyakran bámulom az utcát az ablakból.,глазею,Я часто глазею на улицу из окна.,0350_bamul_m.mp3
351,származik,származni,Én Oroszországból származom.,"быть родом, происходить",Я родом из России.,0351_szarmazik_m.mp3
352,kiderít,kideríteni,Holnap kiderítem az igazságot.,выяснять / выяснить,Завтра я выясню правду.,0352_kiderit_m.mp3
353,átvesz,átvenni,Holnap átveszem a csomagot a postán.,принимать / получать,Завтра я заберу (получу) посылку на почте.,0353_atvesz_m.mp3
354,szabadul,szabadulni,Holnap szabadulok a kórházból.,освобождаться; выбираться,Завтра я выписываюсь из больницы.,0354_szabadul_m.mp3
355,dug,dugni,A kulcsot a zsebembe dugom.,"совать, засовывать",Я кладу (сую) ключ в карман.,0355_dug_m.mp3
356,indít,indítani,Reggel mindig elsőként indítom a számítógépet.,запускать / запустить; заводить,Утром я всегда первым запускаю компьютер.,0356_indit_m.mp3
357,megenged,megengedni,"Ma megengedem, hogy tovább játssz.",разрешать / позволять,Сегодня я разрешаю тебе играть дольше.,0357_megenged_m.mp3
358,főz,főzni,Ma este levest főzök vacsorára.,"варить, готовить (еду)",Сегодня вечером я варю суп на ужин.,0358_foz_m.mp3
359,parancsol,parancsolni,"Ne parancsolj nekem, kérlek!",приказывать,"Не приказывай мне, пожалуйста!",0359_parancsol_m.mp3
360,üdvözöl,üdvözölni,Üdvözlöm a vendégeket az ajtóban.,приветствовать; передавать привет,Я приветствую гостей в дверях.,0360_udvozol_m.mp3
361,biztosít,biztosítani,Minden évben biztosítom az autómat.,страховать; обеспечивать; заверять,Каждый год я страхую свою машину.,0361_biztosit_m.mp3
362,lelő,lelőni,Egy nyulat lőtt le a réten.,застрелить,Он застрелил зайца на лугу.,0362_lelo_m.mp3
363,megtart,megtartani,Megtartom ezt a régi könyvet.,"сохранить, оставить себе",Я оставлю себе эту старую книгу.,0363_megtart_m.mp3
364,old,oldani,A sót vízben oldom.,растворяю,Я растворяю соль в воде.,0364_old_m.mp3
365,megvesz,megvenni,Holnap megveszem ezt a könyvet.,купить,Завтра я куплю эту книгу.,0365_megvesz_m.mp3
366,következik,következni,Most te következel a sorban.,"быть следующим, следовать",Теперь твоя очередь (ты следующий в очереди).,0366_kovetkezik_m.mp3
367,flörtöl,flörtölni,A buliban sokat flörtöl velem.,флиртовать (с кем-л. — vkivel),На вечеринке он много флиртует со мной.,0367_flortol_m.mp3
368,illik,illeni,Ez a kalap nagyon jól illik hozzád.,"подходить, идти (кому-л.)",Эта шляпа тебе очень идёт.,0368_illik_m.mp3
369,nyúl,nyúlni,Ne nyúlj a forró tűzhelyhez!,трогать (к чему-л.),Не трогай горячую плиту!,0369_nyul_m.mp3
370,megmagyaráz,megmagyarázni,Holnap megmagyarázom neked a feladatot.,объяснить,Завтра я объясню тебе задание.,0370_megmagyaraz_m.mp3
371,hord,hordani,Télen mindig meleg sapkát hordok.,носить (одежду),Зимой я всегда ношу тёплую шапку.,0371_hord_m.mp3
372,elrabol,elrabolni,A filmben elrabolják a kislányt.,похитить,В фильме похищают девочку.,0372_elrabol_m.mp3
373,meggondol,meggondolni,Holnapig meggondolom a dolgot.,"обдумать, взвесить",Я обдумаю это дело до завтра.,0373_meggondol_m.mp3
374,ragad,ragadni,Ma egész nap itthon ragadtam.,прилипать; застрять,Сегодня я весь день застрял дома.,0374_ragad_m.mp3
375,hajt,hajtani,Gyorsan hajtok az autópályán.,ехать,Я быстро еду по автостраде.,0375_hajt_m.mp3
376,felismer,felismerni,Azonnal felismertem a régi barátomat.,"узнать, распознать",Я сразу узнал своего старого друга.,0376_felismer_m.mp3
377,kiabál,kiabálni,Miért kiabálsz rám ilyen hangosan?,кричать,Почему ты кричишь на меня так громко?,0377_kiabal_m.mp3
378,osztozik,osztozni,Mindig osztozunk a süteményen.,делиться,Мы всегда делимся пирожным.,0378_osztozik_m.mp3
379,von,vonni,Magára vonja a figyelmet.,"тянуть, притягивать",Он привлекает к себе внимание.,0379_von_m.mp3
380,belép,belépni,Reggel nyolckor belépek az irodába.,"войти, вступить",Утром в восемь я вхожу в офис.,0380_belep_m.mp3
381,feltesz,feltenni,Mindig sok kérdést teszek fel az órán.,задавать (вопрос),Я всегда задаю много вопросов на уроке.,0381_feltesz_m.mp3
382,kihagy,kihagyni,Ma reggel kihagytam a reggelit.,пропустить,Сегодня утром я пропустил завтрак.,0382_kihagy_m.mp3
383,felébred,felébredni,Reggel korán felébredtem.,проснуться,Утром я рано проснулся.,0383_felebred_m.mp3
384,sejt,sejteni,Már régóta sejtettem az igazságot.,"подозревать, предчувствовать",Я уже давно подозревал правду.,0384_sejt_m.mp3
385,ejt,ejteni,Néha véletlenül ejtek egy poharat.,роняю,Иногда я случайно роняю стакан.,0385_ejt_m.mp3
386,szerepel,szerepelni,Holnap szerepelek egy színdarabban.,"выступать, участвовать",Завтра я выступаю в спектакле.,0386_szerepel_m.mp3
387,legyőz,legyőzni,Tegnap könnyen legyőztem a barátomat sakkban.,"победить, одолеть",Вчера я легко победил друга в шахматы.,0387_legyoz_m.mp3
388,kimond,kimondani,Végre kimondtam az igazságot.,"произнести, высказать",Я наконец высказал правду.,0388_kimond_m.mp3
389,gyakorol,gyakorolni,Minden reggel gyakorlom a magyar szavakat.,"тренировать(ся), упражняться, повторять",Каждое утро я повторяю венгерские слова.,0389_gyakorol_m.mp3
390,szakít,szakítani,Tegnap szakított a barátjával.,расстаться (с кем-л.); рвать,Вчера она рассталась со своим парнем.,0390_szakit_m.mp3
391,felkészül,felkészülni,Holnap jól felkészülök a vizsgára.,подготовиться,Завтра я хорошо подготовлюсь к экзамену.,0391_felkeszul_m.mp3
392,hibáztat,hibáztatni,Mindig másokat hibáztat a hibákért.,"винить, обвинять",Он всегда винит других в ошибках.,0392_hibaztat_m.mp3
393,eldönt,eldönteni,"Holnap eldöntöm, hová utazunk.",решить,"Завтра я решу, куда мы поедем.",0393_eldont_m.mp3
394,csal,csalni,Soha nem csalok a vizsgán.,жульничать,Я никогда не жульничаю на экзамене.,0394_csal_m.mp3
395,felel,felelni,Mindig gyorsan felel a kérdésekre.,отвечать,Он/она всегда быстро отвечает на вопросы.,0395_felel_m.mp3
396,meghív,meghívni,Holnap meghívlak egy kávéra.,пригласить,Завтра я приглашу тебя на кофе.,0396_meghiv_m.mp3
397,akad,akadni,A halászléban néha akad egy szálka.,"попадаться, находиться",В рыбном супе иногда попадается косточка.,0397_akad_m.mp3
398,ragaszkodik,ragaszkodni,Mindig ragaszkodom a reggeli kávémhoz.,настаивать / держаться (за),Я всегда держусь за свой утренний кофе.,0398_ragaszkodik_m.mp3
399,kifizet,kifizetni,Tegnap kifizettem a számlát.,"оплатить, выплатить",Вчера я оплатил счёт.,0399_kifizet_m.mp3
400,tisztel,tisztelni,Nagyon tisztelem a tanáromat.,уважать,Я очень уважаю своего учителя.,0400_tisztel_m.mp3
401,fedez,fedezni,A biztosítás mindent fedez.,покрывать,Страховка покрывает всё.,0401_fedez_m.mp3
402,érdemel,érdemelni,Szerintem jobb fizetést érdemelsz.,заслуживать,"По-моему, ты заслуживаешь лучшую зарплату.",0402_erdemel_m.mp3
403,azonosít,azonosítani,Gyorsan azonosítottam a problémát.,"идентифицировать, определить",Я быстро определил проблему.,0403_azonosit_m.mp3
404,kinyír,kinyírni,Tegnap kinyírtak egy bankrablót.,"прикончить, укокошить",Вчера прикончили одного грабителя банка.,0404_kinyir_m.mp3
405,megérdemel,megérdemelni,Megérdemelsz egy kis pihenést ma.,заслуживать,Ты заслуживаешь немного отдыха сегодня.,0405_megerdemel_m.mp3
406,elkésik,elkésni,Ma reggel elkéstem a munkáról.,опоздать,Сегодня утром я опоздал на работу.,0406_elkesik_m.mp3
407,hazajön,hazajönni,Ma este későn jövök haza.,вернуться домой,Сегодня вечером я вернусь домой поздно.,0407_hazajon_m.mp3
408,tekint,tekinteni,Barátomnak tekintem őt.,считать (кем-л.),Я считаю его своим другом.,0408_tekint_m.mp3
409,elmagyaráz,elmagyarázni,Most elmagyarázom neked a feladatot.,объяснить,Сейчас я объясню тебе задание.,0409_elmagyaraz_m.mp3
410,cselekszik,cselekedni,Mindig gyorsan cselekszem vészhelyzetben.,"действовать, поступать",В чрезвычайной ситуации я всегда действую быстро.,0410_cselekszik_m.mp3
411,megszabadul,megszabadulni,Végre megszabadultam a régi telefonomtól.,"избавиться, освободиться",Наконец-то я избавился от старого телефона.,0411_megszabadul_m.mp3
412,cserél,cserélni,Holnap pénzt cserélek a bankban.,обменять,Завтра я обменяю деньги в банке.,0412_cserel_m.mp3
413,tisztáz,tisztázni,Tegnap végre tisztáztuk a félreértést.,"выяснить, прояснить",Вчера мы наконец прояснили недоразумение.,0413_tisztaz_m.mp3
414,megnyer,megnyerni,Tegnap megnyertük a meccset.,"выиграть, победить",Вчера мы выиграли матч.,0414_megnyer_m.mp3
415,felkel,felkelni,Minden reggel hatkor felkelek.,вставать (с постели),Я встаю в шесть часов утра каждый день.,0415_felkel_m.mp3
416,lemond,lemondani,Lemondok a holnapi találkozóról.,отказаться / отменить,Я отказываюсь от завтрашней встречи.,0416_lemond_m.mp3
